ID,Month,Vessel Arrivals (Number),Vessel Arrivals - Shipping Tonnage (Thousand Gross Tonnes),Total Cargo (Thousand Tonnes),Cargo (General) (Thousand Tonnes),Cargo (Bulk) (Thousand Tonnes),Cargo (Oil-In-Bulk) (Thousand Tonnes),Cargo (General & Non-Oil In Bulk) (Thousand Tonnes),Total Container Throughput (Thousand Twenty-Foot Equivalent Units),Bunker Sales (Thousand Tonnes),Singapore Registry Of Ships (End Of Period) - Number (Number),Singapore Registry Of Ships (End Of Period) - '000 GT (Thousand Gross Tonnes),Month Val,Month Num,Year,Month Rank
0,1995 Jan,8876,58979,24871.1,13565.7,11305.4,10530.7,14340.4,946.4,1565.3,2672,13260,1/1/1995,1,1995,1
1,1995 Feb,7593,53787,22954.8,12275.1,10679.7,10065.8,12889.1,867.4,1333.7,2687,13270,1/2/1995,2,1995,2
2,1995 Mar,8610,58441,25394,14176.4,11217.6,10517.3,14876.8,969.5,1511.1,2699,13411,1/3/1995,3,1995,3
3,1995 Apr,8483,59352,25076.7,14141.2,10935.4,10233.8,14842.9,960.1,1556.9,2717,13651,1/4/1995,4,1995,4
4,1995 May,8749,61696,25824.3,14375.2,11449.1,10652.9,15171.4,988.3,1470.1,2743,14140,1/5/1995,5,1995,5
5,1995 Jun,8507,55360,25318.3,14131.3,11187,10369,14949.3,973,1454.8,2758,14268,1/6/1995,6,1995,6
6,1995 Jul,8669,61311,25975.9,14522,11453.9,10685.4,15290.5,1037.4,1530.9,2789,14498,1/7/1995,7,1995,7
7,1995 Aug,8498,60099,27226.2,14893,12333.3,11342.4,15883.8,1046.5,1418.3,2814,14572,1/8/1995,8,1995,8
8,1995 Sep,8582,58361,25154,13922,11231.9,10388.4,14765.5,977.5,1451.3,2834,14694,1/9/1995,9,1995,9
9,1995 Oct,9140,60324,26111.1,14857.2,11253.9,10436.7,15674.3,1047.9,1472.3,2867,14670,1/10/1995,10,1995,10
10,1995 Nov,8788,58842,25243.8,13955.9,11287.9,10587.9,14655.9,986.9,1324.5,2877,14959,1/11/1995,11,1995,11
11,1995 Dec,9519,64022,26333.8,14929.7,11404.1,10564.6,15769.2,1045.1,1400,2910,14964,1/12/1995,12,1995,12
12,1996 Jan,9592,62435,25808.4,14304.4,11504,10682.4,15126,1047.7,1434.5,2955,15346,1/1/1996,1,1996,13
13,1996 Feb,8687,61216,23739.6,12879.5,10860.1,10166.6,13573,958.4,1425.8,2985,15598,1/2/1996,2,1996,14
14,1996 Mar,9971,67917,26446.1,14368.2,12077.9,11270,15176.2,1021.5,1506.5,3005,15820,1/3/1996,3,1996,15
15,1996 Apr,9633,63417,26945.7,14501.2,12444.5,11663.3,15282.4,1041,1434,3030,15978,1/4/1996,4,1996,16
16,1996 May,9836,65486,26302.3,14370.4,11931.9,11254.4,15047.9,1093.6,1603.1,3050,16184,1/5/1996,5,1996,17
17,1996 Jun,9635,63610,26356.6,14517.8,11838.8,11005.8,15350.8,1073.7,1488.4,3048,16467,1/6/1996,6,1996,18
18,1996 Jul,10046,64756,27257.2,15399.1,11858,11023.5,16233.7,1143.9,1392.9,3065,16593,1/7/1996,7,1996,19
19,1996 Aug,9888,64188,26035.3,14917,11118.3,10338.8,15696.5,1128.5,1355.9,3078,16776,1/8/1996,8,1996,20
20,1996 Sep,9840,63964,26650.7,14685.5,11965.2,11146.3,15504.4,1085.7,1190.7,3109,16842,1/9/1996,9,1996,21
21,1996 Oct,10218,63443,26048.1,15268.1,10780.1,10072.2,15976,1137.7,1353.7,3121,16999,1/10/1996,10,1996,22
22,1996 Nov,10083,63469,25827.1,14716.8,11110.3,10417.3,15409.8,1098.7,1330.1,3141,17365,1/11/1996,11,1996,23
23,1996 Dec,10294,64617,26747,15155.3,11591.6,10837.3,15909.7,1114.1,1422.8,3157,18239,1/12/1996,12,1996,24
24,1997 Jan,10726,66987,25750.6,14734.7,11016,10010.9,15739.7,1105.2,1506.8,3173,18270,1/1/1997,1,1997,25
25,1997 Feb,8945,58576,23303.6,12765.9,10537.7,9830.1,13473.5,963.3,1377.2,3186,18290,1/2/1997,2,1997,26
